active,propertyId,propertyName,propertyURI,fhsId,propertyRating,ratingObject,propertyHeadline,media,city,stateProvinceName,stateAbbreviation,country,destinationId,destinationName,destinationURI,accolade,accoladeUri,accoladeIconUri,location,propertyType,regionId,secondaryRegion,newlyRated,sortName,lat,ratingDisplay,propertyFriendlyName,locationDisplay,long
True,sanya-china/1-hotel-haitang-bay-sanya,"1 Hotel Haitang Bay, Sanya",/hotels/sanya-china/1-hotel-haitang-bay-sanya,7025,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Where sustainability meets sophistication ,,Sanya,,,China,sanya-china,Sanya,/destinations/sanya-china,,,,"[None, None]",HOTEL,asia-pacific,China,False,1 hotel haitang bay sanya,,4-Star Rated,"1 Hotel Haitang Bay, Sanya","Sanya, China",
True,nashville-tennessee/1-hotel-nashville,1 Hotel Nashville,/hotels/nashville-tennessee/1-hotel-nashville,8396,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Nashville’s eco-friendly escape ,,Nashville,Tennessee,TN,United States (TN),nashville-tennessee,Nashville,/destinations/nashville-tennessee,,,,"[None, None]",HOTEL,united-states,Tennessee,True,1 hotel nashville,,Recommended,1 Hotel Nashville,"Nashville, United States (TN)",
True,miami-florida/1-hotel-south-beach,1 Hotel South Beach,/hotels/miami-florida/1-hotel-south-beach,3733,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Your beachside escape to nature in Miami,,Miami Beach,Florida,FL,United States (FL),miami-florida,Miami,/destinations/miami-florida,,,,"[None, None]",HOTEL,united-states,Florida,False,1 hotel south beach,,4-Star Rated,1 Hotel South Beach,"Miami Beach, United States (FL)",
True,toronto-canada/1-hotel-toronto,1 Hotel Toronto,/hotels/toronto-canada/1-hotel-toronto,7045,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A sustainable-chic sanctuary in Toronto ,,Toronto,Ontario,ON,Canada (ON),toronto-canada,Toronto,/destinations/toronto-canada,,,,"[None, None]",HOTEL,canada,Ontario,True,1 hotel toronto,,Recommended,1 Hotel Toronto,"Toronto, Canada (ON)",
True,los-angeles-california/1-hotel-west-hollywood,1 Hotel West Hollywood,/hotels/los-angeles-california/1-hotel-west-hollywood,7900,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Sustainability meets luxury in WeHo,,West Hollywood,California,CA,United States (CA),los-angeles-california,Los Angeles,/destinations/los-angeles-california,,,,"[None, None]",HOTEL,united-states,California,False,1 hotel west hollywood,,Recommended,1 Hotel West Hollywood,"West Hollywood, United States (CA)",
True,london-united-kingdom/11-cadogan-gardens,11 Cadogan Gardens,/hotels/london-united-kingdom/11-cadogan-gardens,3291,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A London charmer brimming with personality,,London,,,United Kingdom,london-united-kingdom,London,/destinations/london-united-kingdom,,,,"[None, None]",HOTEL,europe,United Kingdom,False,11 cadogan gardens,,Recommended,11 Cadogan Gardens,"London, United Kingdom",
True,mauritius-mauritius/20-degres-sud,20 Degrés Sud,/hotels/mauritius-indian-ocean/20-degres-sud,6001,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Mauritius’ boutique beauty ,,Grand Bay,,,Mauritius,mauritius-mauritius,Mauritius ,/destinations/mauritius-indian-ocean,,,,"[None, None]",HOTEL,south-africa,Indian Ocean,False,20 degres sud,,Recommended,20 Degres Sud,"Grand Bay, Mauritius",
True,london-united-kingdom/45-park-lane,45 Park Lane,/hotels/london-united-kingdom/45-park-lane,1060,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Art deco style in London,,London,,,United Kingdom,london-united-kingdom,London,/destinations/london-united-kingdom,,,,"[None, None]",HOTEL,europe,United Kingdom,False,45 park lane,,4-Star Rated,45 Park Lane,"London, United Kingdom",
True,london-united-kingdom/51-buckingham-gate-taj-suites-and-residences,"51 Buckingham Gate, Taj Suites and Residences",/hotels/london-united-kingdom/51-buckingham-gate-taj-suites-and-residences,1105,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",London's architectural marvel,,London,,,United Kingdom,london-united-kingdom,London,/destinations/london-united-kingdom,,,,"[None, None]",HOTEL,europe,United Kingdom,False,51 buckingham gate taj suites and residences,,4-Star Rated,"51 Buckingham Gate, Taj Suites and Residences","London, United Kingdom",
True,sardinia-italy/7pines-resort-sardinia,7Pines Resort Sardinia,/hotels/sardinia-italy/7pines-resort-sardinia,8183,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A sun lover’s sanctuary ,,Arzachena ,,,Italy,sardinia,Sardinia,/destinations/sardinia-italy,,,,"[None, None]",HOTEL,europe,Italy,True,7pines resort sardinia,,Recommended,7Pines Resort Sardinia,"Arzachena , Italy",
True,abu-dhabi-united-arab-emirates/the-abu-dhabi-edition,The Abu Dhabi EDITION,/hotels/abu-dhabi-united-arab-emirates/the-abu-dhabi-edition,5697,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Abu Dhabi's chic new hot spot,,Abu Dhabi,,,United Arab Emirates,abu-dhabi-united-arab-emirates,Abu Dhabi,/destinations/abu-dhabi-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,False,abu dhabi edition,,4-Star Rated,The Abu Dhabi EDITION,"Abu Dhabi, United Arab Emirates",
True,miami-florida/acqualina-resort-spa,Acqualina Resort and Residences on the Beach,/hotels/miami-florida/acqualina-resort-and-residences-on-the-beach,2,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",Mediterranean style on South Florida sand,,Sunny Isles Beach,Florida,FL,United States (FL),miami-florida,Miami,/destinations/miami-florida,,,,"[None, None]",HOTEL,united-states,Florida,False,acqualinresort and residences on the beach,,5-Star Rated,Acqualina Resort and Residences on the Beach,"Sunny Isles Beach, United States (FL)",
True,dublin-ireland/adare-manor,Adare Manor,/hotels/ireland-republic-of-ireland/adare-manor,6505,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",Aristocratic luxury in the Irish countryside,,County Limerick,,,Ireland,dublin-ireland,Ireland,/destinations/ireland-republic-of-ireland,,,,"[None, None]",HOTEL,europe,Republic of Ireland,False,adare manor,,5-Star Rated,Adare Manor,"County Limerick, Ireland",
True,dubai-united-arab-emirates/address-beach-resort,Address Beach Resort,/hotels/dubai-united-arab-emirates/address-beach-resort,7899,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",A beach getaway with a jaw-dropping pool ,,Dubai,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address beach resort,,5-Star Rated,Address Beach Resort,"Dubai, United Arab Emirates",
True,bahrain-bahrain/address-beach-resort-bahrain,Address Beach Resort Bahrain,/hotels/bahrain-bahrain/address-beach-resort-bahrain,7969,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Bahrain’s chic beachfront retreat,,Manama,,,Bahrain,bahrain,Bahrain,/destinations/bahrain-bahrain,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,Bahrain,True,address beach resort bahrain,,4-Star Rated,Address Beach Resort Bahrain,"Manama, Bahrain",
